,totalSeasons,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards Wins,Awards Nominated,Primetime Emmys Wins,Primetime Emmys Nominations,Oscar Nominations,Oscar Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
1409,none,An actor (Freeman) prepping for an upcoming role meets a quirky grocery clerk (Vega); and the pair hit the road to show one another their respective worlds.,R,True,English; Spanish,10 Items or Less,USA,Brad Silberling,54,6.7,Brad Silberling,08 Feb 2007,Morgan Freeman; Paz Vega; Jonah Hill; Anne Dudek,2006,Comedy; Drama,1 win & 1 nomination.,82 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTU4NjYzMV5BMl5BanBnXkFtZTcwNTg1NzQ0MQ@@._V1_SX300.jpg,12869,tt0499603,1,1,0,0,0,0,0,0,0,0
1940,none,A dramatization of the shocking Barbara Daly Baekeland murder case; which happened in a posh London flat on Friday 17 November 1972. The bloody crime caused a stir on both sides of the Atlantic and remains one of the most memorable American Tragedies...,NOT RATED,True,English; French; Spanish,Savage Grace,Spain; USA; France,Howard A. Rodman (screenplay); Natalie Robins (book); Steven M.L. Aronson (book),51,5.9,Tom Kalin,25 Jan 2008,Julianne Moore; Stephen Dillane; Anne Reid; Martin Huber,2007,Drama,1 win & 1 nomination.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjYwNjgwNF5BMl5BanBnXkFtZTcwMTEzNDk2MQ@@._V1_SX300.jpg,8974,tt0379976,1,1,0,0,0,0,0,0,0,0
1941,none,After an Alaskan town is plunged into darkness for a month; it is attacked by a bloodthirsty gang of vampires.,R,True,English,30 Days of Night,USA; New Zealand,Steve Niles (screenplay); Stuart Beattie (screenplay); Brian Nelson (screenplay); Steve Niles (comic); Ben Templesmith (comic),53,6.6,David Slade,19 Oct 2007,Josh Hartnett; Melissa George; Danny Huston; Ben Foster,2007,Horror; Thriller,12 nominations.,113 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MDE5ODIxMF5BMl5BanBnXkFtZTcwMjMyMTU1MQ@@._V1_SX300.jpg,140626,tt0389722,0,12,0,0,0,0,0,0,0,0
1944,none,Five years after jilting his pregnant fiancée on their wedding day; out-of-shape Dennis decides to run a marathon to win her back.,PG-13,True,English,Run; Fatboy; Run,UK; USA,Michael Ian Black (screenplay); Simon Pegg (screenplay); Michael Ian Black (story),48,6.6,David Schwimmer,28 Mar 2008,Simon Pegg; Thandie Newton; Hank Azaria; Dylan Moran,2007,Comedy; Romance; Sport,3 nominations.,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzOTg0NTk5NF5BMl5BanBnXkFtZTcwMjMxNDI2MQ@@._V1_SX300.jpg,59039,tt0425413,0,3,0,0,0,0,0,0,0,0
1947,none,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,R,True,English,Death Race,USA; Germany; UK,Paul W.S. Anderson (screenplay); Paul W.S. Anderson (screen story); Robert Thom; Charles B. Griffith; Ib Melchior,43,6.4,Paul W.S. Anderson,22 Aug 2008,Jason Statham; Joan Allen; Ian McShane; Tyrese Gibson,2008,Action; Sci-Fi; Thriller,1 win & 5 nominations.,105 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwMDU1ODg5Ml5BMl5BanBnXkFtZTcwNjMzNjY3MQ@@._V1_SX300.jpg,168610,tt0452608,1,5,0,0,0,0,0,0,0,0
1952,none,A recent widow invites her husband's troubled best friend to live with her and her two children. As he gradually turns his life around; he helps the family cope and confront their loss.,R,True,English,Things We Lost in the Fire,USA; UK; Canada,Allan Loeb,63,7.2,Susanne Bier,19 Oct 2007,Halle Berry; Benicio Del Toro; David Duchovny; Alexis Llewellyn,2007,Drama,4 wins & 1 nomination.,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyNTc3NTY2MF5BMl5BanBnXkFtZTcwMTE3NzYzMw@@._V1_SX300.jpg,24428,tt0469623,4,1,0,0,0,0,0,0,0,0
1956,none,A guy's life is turned around by an email; which includes the names of everyone he's had sex with and ever will have sex with. His situation gets worse when he encounters a femme fatale (Ryder) who targets men guilty of sex crime.,R,True,English,Sex and Death 101,USA,Daniel Waters,24,6.0,Daniel Waters,22 Feb 2008,Robert Wisdom; Tanc Sade; Patton Oswalt; Simon Baker,2007,Comedy; Drama; Romance,1 win.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2ODc0NzgxNF5BMl5BanBnXkFtZTcwNTU3NTg1MQ@@._V1_SX300.jpg,9626,tt0497972,1,0,0,0,0,0,0,0,0,0
1957,none,The Pevensie siblings return to Narnia; where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne; Prince Caspian.,PG,True,English,The Chronicles of Narnia: Prince Caspian,USA; Poland; Slovenia; Czech Republic,Andrew Adamson (screenplay); Christopher Markus (screenplay); Stephen McFeely (screenplay); C.S. Lewis (novel),62,6.6,Andrew Adamson,16 May 2008,Ben Barnes; Georgie Henley; Skandar Keynes; William Moseley,2008,Action; Adventure; Family,2 wins & 19 nominations.,150 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SX300.jpg,152729,tt0499448,2,19,0,0,0,0,0,0,0,0
1958,none,Warring alien and predator races descend on a rural US town; where unsuspecting residents must band together for any chance of survival.,R,True,English,Aliens vs. Predator: Requiem,USA,"Shane Salerno; Dan O'Bannon (""Alien"" characters); Ronald Shusett (""Alien"" characters); Jim Thomas (""Predator"" characters); John Thomas (""Predator"" characters)",29,4.7,Colin Strause; Greg Strause,25 Dec 2007,Steven Pasquale; Reiko Aylesworth; John Ortiz; Johnny Lewis,2007,Action; Horror; Sci-Fi,4 nominations.,94 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg,94134,tt0758730,0,4,0,0,0,0,0,0,0,0
1959,none,After graduating from Emory University; top student and athlete Christopher McCandless abandons his possessions; gives his entire $24;000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way; Christopher encounters a series of characters that shape his life.,R,True,English; Danish,Into the Wild,USA,Sean Penn (screenplay); Jon Krakauer (book),73,8.2,Sean Penn,19 Oct 2007,Emile Hirsch; Marcia Gay Harden; William Hurt; Jena Malone,2007,Adventure; Biography; Drama,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,148 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_SX300.jpg,436534,tt0758758,23,101,0,0,2,0,0,0,0,0
1960,none,A gorgeous young automobile fanatic--and front to the hottest unsigned band on the West coast--finds herself caught up in illegal drag-racing competitions organized by exotic car fanatics.,PG-13,True,English,Redline,USA,Robert Foreman (screenplay); Daniel Sadek (story),24,4.0,Andy Cheng,13 Apr 2007,Nathan Phillips; Nadia Bjorlin; Angus Macfadyen; Eddie Griffin,2007,Action,1 nomination.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODY1MTc3MjQ2MF5BMl5BanBnXkFtZTcwOTI4MTU0MQ@@._V1_SX300.jpg,7957,tt0780595,0,1,0,0,0,0,0,0,0,0
1971,none,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,R,True,English,Superbad,USA,Seth Rogen; Evan Goldberg,76,7.6,Greg Mottola,17 Aug 2007,Jonah Hill; Michael Cera; Christopher Mintz-Plasse; Bill Hader,2007,Comedy,10 wins & 24 nominations.,113 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_SX300.jpg,429471,tt0829482,10,24,0,0,0,0,0,0,0,0
1977,none,A disgraced hockey player coaches the women's national team to win back his honor and dignity.,NOT RATED,True,Hindi,Chak de! India,India,Jaideep Sahni (dialogue); Jaideep Sahni (screenplay); Jaideep Sahni (story),68,8.4,Shimit Amin,10 Aug 2007,Shah Rukh Khan; Vidya Malvade; Sagarika Ghatge; Shilpa Shukla,2007,Drama; Family; Sport,26 wins & 18 nominations.,153 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MjgyNDE5Nl5BMl5BanBnXkFtZTcwMzM1MDc4MQ@@._V1_SX300.jpg,49175,tt0871510,26,18,0,0,0,0,0,0,0,0
1987,none,A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,PG-13,True,English,Doubt,USA,John Patrick Shanley (screenplay); John Patrick Shanley (play),68,7.5,John Patrick Shanley,25 Dec 2008,Meryl Streep; Philip Seymour Hoffman; Amy Adams; Viola Davis,2008,Drama; Mystery,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,104 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NDk0NzE4Nl5BMl5BanBnXkFtZTcwMjk1NDE4MQ@@._V1_SX300.jpg,100757,tt0918927,26,93,0,0,5,0,0,0,0,0
2032,none,The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and ...,PG-13,True,English,Witless Protection,USA,Charles Robert Carner (screenplay); Charles Robert Carner (story); Alan C. Blomquist (story),17,3.1,Charles Robert Carner,22 Feb 2008,Larry the Cable Guy; Richard Bull; J. David Moeller; Will Clinger,2008,Comedy; Crime,4 nominations.,97 min,movie,http://ia.media-imdb.com/images/M/MV5BMTU2OTc5ODA1M15BMl5BanBnXkFtZTcwOTkzMzU1MQ@@._V1_SX300.jpg,5467,tt1001562,0,4,0,0,0,0,0,0,0,0
2101,none,Film-maker Werner Herzog travels to the McMurdo Station in Antarctica; looking to capture the continent's beauty and investigate the characters living there.,G,True,English; Spanish,Encounters at the End of the World,USA,Werner Herzog,80,7.8,Werner Herzog,18 Jul 2008,Werner Herzog; Scott Rowland; Stefan Pashov; Doug MacAyeal,2007,Documentary,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI3NjkyNjY2OV5BMl5BanBnXkFtZTcwOTUwMTU3MQ@@._V1_SX300.jpg,13969,tt1093824,2,15,0,0,1,0,0,0,0,0
2104,none,A teenage girl risks everything when she falls in love with a vampire.,PG-13,True,English,Twilight,USA,Melissa Rosenberg (screenplay); Stephenie Meyer (novel),56,5.2,Catherine Hardwicke,21 Nov 2008,Kristen Stewart; Sarah Clarke; Matt Bushell; Billy Burke,2008,Drama; Fantasy; Romance,28 wins & 16 nominations.,122 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX300.jpg,352863,tt1099212,28,16,0,0,0,0,0,0,0,0
2213,none,Over the course of one evening; an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.,PG-13,True,English,Disaster Movie,USA,Jason Friedberg; Aaron Seltzer,15,1.9,Jason Friedberg; Aaron Seltzer,29 Aug 2008,Matt Lanter; Vanessa Lachey; Gary 'G. Thang' Johnson; Nicole Parker,2008,Comedy,1 win & 6 nominations.,87 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_SX300.jpg,75793,tt1213644,1,6,0,0,0,0,0,0,0,0
2723,none,Luke Skywalker joins forces with a Jedi Knight; a cocky pilot; a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station; while also attempting to rescue Princess Leia from the evil Darth Vader.,PG,True,English,Star Wars: Episode IV - A New Hope,USA,George Lucas,92,8.7,George Lucas,25 May 1977,Mark Hamill; Harrison Ford; Carrie Fisher; Peter Cushing,1977,Action; Adventure; Fantasy,Won 6 Oscars. Another 48 wins & 28 nominations.,121 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZGEzZTExMDEtNjg4OC00NjQxLTk5NTUtNjRkNjA3MmYwZjg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,927743,tt0076759,54,28,0,0,0,6,0,0,0,0
2724,none,In 1985 where former superheroes exist; the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation; uncovering something that could completely change the course of history as we know it.,R,True,English,Watchmen,USA,David Hayter (screenplay); Alex Tse (screenplay); Dave Gibbons (graphic novel illustrator),56,7.6,Zack Snyder,06 Mar 2009,Malin Akerman; Billy Crudup; Matthew Goode; Jackie Earle Haley,2009,Action; Drama; Mystery,12 wins & 20 nominations.,162 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg,397885,tt0409459,12,20,0,0,0,0,0,0,0,0
2726,none,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,PG-13,True,English,Prince of Persia: The Sands of Time,USA,"Boaz Yakin (screenplay); Doug Miro (screenplay); Carlo Bernard (screenplay); Jordan Mechner (screen story); Jordan Mechner (video game series ""Prince of Persia"")",50,6.6,Mike Newell,28 May 2010,Jake Gyllenhaal; Gemma Arterton; Ben Kingsley; Alfred Molina,2010,Action; Adventure; Fantasy,1 win & 9 nominations.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_SX300.jpg,226085,tt0473075,1,9,0,0,0,0,0,0,0,0
2729,none,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,R,True,English,Love & Other Drugs,USA,Charles Randolph (screenplay); Edward Zwick (screenplay); Marshall Herskovitz (screenplay); Jamie Reidy (book),55,6.7,Edward Zwick,24 Nov 2010,Jake Gyllenhaal; Anne Hathaway; Oliver Platt; Hank Azaria,2010,Comedy; Drama; Romance,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_SX300.jpg,146098,tt0758752,1,6,0,0,0,0,2,0,0,0
2730,none,Perseus demigod; son of Zeus; battles the minions of the underworld to stop them from conquering heaven and earth.,PG-13,True,English,Clash of the Titans,USA,Travis Beacham (screenplay); Phil Hay (screenplay); Matt Manfredi (screenplay); Beverley Cross,39,5.8,Louis Leterrier,02 Apr 2010,Sam Worthington; Liam Neeson; Ralph Fiennes; Jason Flemyng,2010,Action; Adventure; Fantasy,4 wins & 12 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,232323,tt0800320,4,12,0,0,0,0,0,0,0,0
2731,none,Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,R,True,English,The Kids Are All Right,USA,Lisa Cholodenko; Stuart Blumberg,86,7.1,Lisa Cholodenko,30 Jul 2010,Julianne Moore; Annette Bening; Mark Ruffalo; Mia Wasikowska,2010,Comedy; Drama; Romance,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NTMwNDg5MF5BMl5BanBnXkFtZTcwNDY2ODE0Mw@@._V1_SX300.jpg,111879,tt0842926,28,120,0,0,4,0,0,0,0,0
2733,none,The story of Michael Oher; a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.,PG-13,True,English,The Blind Side,USA,John Lee Hancock; Michael Lewis (book),53,7.7,John Lee Hancock,20 Nov 2009,Sandra Bullock; Tim McGraw; Quinton Aaron; Jae Head,2009,Biography; Drama; Sport,Won 1 Oscar. Another 7 wins & 29 nominations.,129 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,228448,tt0878804,8,29,0,0,0,1,0,0,0,0
2735,none,A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself; and learns there may be more to the creatures than he assumed.,PG,True,English,How to Train Your Dragon,USA,William Davies (screenplay); Dean DeBlois (screenplay); Chris Sanders (screenplay); Cressida Cowell (book),74,8.2,Dean DeBlois; Chris Sanders,26 Mar 2010,Jay Baruchel; Gerard Butler; Craig Ferguson; America Ferrera,2010,Animation; Action; Adventure,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,497628,tt0892769,25,60,0,0,2,0,0,0,0,0
2739,none,In a future mind-controlling game; death row convicts are forced to battle in a 'Doom'-type environment. Convict Kable; controlled by Simon; a skilled teenage gamer; must survive thirty sessions in order to be set free. Or won't he?,R,True,English,Gamer,USA,Mark Neveldine; Brian Taylor,27,5.8,Mark Neveldine; Brian Taylor,04 Sep 2009,Gerard Butler; Amber Valletta; Michael C. Hall; Kyra Sedgwick,2009,Action; Sci-Fi; Thriller,1 win.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg,114639,tt1034032,1,0,0,0,0,0,0,0,0,0
2740,none,Set in the near future when artificial organs can be bought on credit; it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.,R,True,English; Spanish,Repo Men,USA; Canada,Eric Garcia (screenplay); Garrett Lerner (screenplay); Eric Garcia (novel),32,6.3,Miguel Sapochnik,19 Mar 2010,Jude Law; Forest Whitaker; Alice Braga; Liev Schreiber,2010,Action; Crime; Sci-Fi,2 nominations.,111 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MTUxODM0MV5BMl5BanBnXkFtZTcwMDg3MTgwMw@@._V1_SX300.jpg,88641,tt1053424,0,2,0,0,0,0,0,0,0,0
2746,none,As Hannah Montana's popularity begins to take over her life; Miley Stewart; on the urging from her father takes a trip to her hometown of Crowley Corners; Tennessee to get some perspective on what matters in life the most.,G,True,English,Hannah Montana: The Movie,USA,Dan Berendsen; Michael Poryes (characters); Rich Correll (characters); Barry O'Brien (characters),47,4.2,Peter Chelsom,10 Apr 2009,Miley Cyrus; Billy Ray Cyrus; Emily Osment; Jason Earles,2009,Comedy; Drama; Family,6 wins & 10 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNjUxODY3NF5BMl5BanBnXkFtZTcwMjQyMzMzMg@@._V1_SX300.jpg,32414,tt1114677,6,10,0,0,0,0,0,0,0,0
2748,none,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,PG-13,True,English; Ukrainian,Burlesque,USA,Steve Antin,47,6.4,Steve Antin,24 Nov 2010,Cher; Christina Aguilera; Eric Dane; Cam Gigandet,2010,Drama; Music; Musical,Won 1 Golden Globe. Another 5 wins & 17 nominations.,119 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MzEyODI0Ml5BMl5BanBnXkFtZTcwNjIyNDQ4Mw@@._V1_SX300.jpg,62791,tt1126591,6,17,0,0,0,0,0,1,0,0
2814,none,A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder; which sees his best friend arrested for the crime.,R,True,English,Twelve,USA; France,Jordan Melamed (screenplay); Nick McDonell (novel),22,5.7,Joel Schumacher,06 Aug 2010,Chace Crawford; Rory Culkin; Philip Ettinger; Esti Ginzburg,2010,Action; Crime; Drama,1 nomination.,93 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0NTgwMjc4MV5BMl5BanBnXkFtZTcwMzA3ODk1Mw@@._V1_SX300.jpg,10864,tt1407084,0,1,0,0,0,0,0,0,0,0
2883,none,As a deadly battle rages over Jigsaw's brutal legacy; a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen; a man whose own dark secrets unleash a new wave of terror.,R,True,English,Saw 3D: The Final Chapter,Canada; USA,Patrick Melton; Marcus Dunstan,24,5.6,Kevin Greutert,29 Oct 2010,Tobin Bell; Costas Mandylor; Betsy Russell; Cary Elwes,2010,Horror; Mystery,3 nominations.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0NTEwNTgwNF5BMl5BanBnXkFtZTcwMDM5MTU5Mw@@._V1_SX300.jpg,69385,tt1477076,0,3,0,0,0,0,0,0,0,0
2983,none,Strange lights descend on the city of Los Angeles; drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.,PG-13,True,English,Skyline,USA,Joshua Cordes; Liam O'Donnell,26,4.4,Colin Strause; Greg Strause,12 Nov 2010,Eric Balfour; Scottie Thompson; Brittany Daniel; Crystal Reed,2010,Action; Sci-Fi; Thriller,1 nomination.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDkwOTc5M15BMl5BanBnXkFtZTcwMTE2MTMwNA@@._V1_SX300.jpg,76957,tt1564585,0,1,0,0,0,0,0,0,0,0
